RBR XR-420-CTDTu  4.60 010364 (Windows: 6.13)
Host time     11/03/10 10:22:11
Logger time   00/01/01 00:00:54
Logging start 11/01/27 12:49:50
Logging end   11/03/21 14:00:47
Sample period          00:01:00
Number of channels =  4, number of samples =  57801, mode: Logging Complete
N04%9.4f
Calibration  1: 0.019000000000000
                115.816999999999990
                0.000000000000000
                0.000000000000000 mS/cm
Calibration  2: 0.003393357512372
                -0.000253374267740
                0.000002085728346
                -0.000000065315866 Degrees_C
Calibration  3: -0.433104483498000
                649.886311963025950
                44.500312786084002
                21.978793100453998 deciBars
Calibration  4: 0.000000000000000
                5.000000000000000
                0.000000000000000
                0.000000000000000 NTU
Correction to conductivity: 0.0000000e+000 0.0000000e+000 0.0000000e+000 0.0000000e+000
COMMENT: pdo 3102011
Memory type: 2 AMD 29LV033C
Averaging: 3 seconds
Logger start:Now 

     Cond      Temp      Pres      Turb 
  28.9591   13.9423   -0.4331    0.3717 
  28.7794   13.9359   -0.4331    0.3726 
  28.6858   13.9299   -0.4331    0.3660 
  28.3810   13.9264   -0.4331    0.3712 
  28.3107   13.9233   -0.4331    0.3668 
  28.2672   13.9176   -0.4331    0.3676 
  28.1846   13.9123   -0.4331    0.3676 
  28.2122   13.9248   -0.4331    0.4145 
  28.1989   13.9331   -0.4331    0.3523 
  28.1753   13.9532   -0.4331    0.3576 
  28.1132   13.9595   -0.4331    0.3598 
  28.0682   13.9874   -0.4331    0.3520 
  28.0559   13.9954   -0.4331    0.3498 
  28.0859   14.0234   -0.4331    0.3483 
  28.1175   14.0573   -0.4331    0.3478 
  28.0998   14.1089   -0.4331    0.3484 
  28.0265   14.1567   -0.4331    0.3472 
  28.1460   14.1297   -0.4331    0.3460 
  28.0121   14.1694   -0.4331    0.3477 
  28.0742   14.2045   -0.4331    0.3478 
  27.8700   14.2786   -0.4331    0.3458 
  27.8369   14.3318   -0.4331    0.3469 
  27.6746   14.2968   -0.4331    0.3465 
  27.4435   14.3061   -0.4331    0.4095 
  27.4426   14.3667   -0.4331    0.4094 
  27.5380   14.3759   -0.4331    0.4209 
  27.5043   14.3640   -0.4331    0.4185 
  27.5307   14.3599   -0.4331    0.4188 
  27.5275   14.4030   -0.4331    0.4238 
  27.6028   14.3726   -0.4331    0.4195 
  27.5742   14.3215   -0.4331    0.4129 
  27.5836   14.3327   -0.4331    0.4145 
  27.6542   14.3478   -0.4331    0.4084 
  27.7218   14.3170   -0.4331    0.3977 
  27.9254   14.2896   -0.4331    0.4031 
  27.7637   14.1619   -0.4331    0.3952 
  27.7098   14.2568   -0.4331    0.4027 
  27.8472   14.1960   -0.4331    0.4107 
  28.1450   14.2326   -0.4331    0.4026 
  27.6595   14.3023   -0.4331    0.3985 
  27.7031   14.3295   -0.4331    0.3998 
  27.6744   14.3005   -0.4331    0.3969 
  27.6053   14.3394   -0.4331    0.3992 
  27.5823   14.3266   -0.4331    0.4006 
  27.6657   14.3310   -0.4331    0.3947 
  27.5279   14.3325   -0.4331    0.3999 
  27.5783   14.3400   -0.4331    0.4000 
  27.4575   14.3219   -0.4331    0.4002 
  27.4005   14.3487   -0.4331    0.4001 
  27.4110   14.2407   -0.4331    0.3992 
  27.4069   14.1982   -0.4331    0.3998 
  27.3999   14.2504   -0.4331    0.3993 
  27.4121   14.1981   -0.4331    0.3929 
